name,phone,address,checkin,checkout,room_type,room_price,room_no,customer_id,stay_duration,restaurant_charges,payment_done,cancelled,necessities_charges
Kalyann-Sarthak Tiwari,8976543224,lkjhgtre,22/11/2025,27/11/2025,Standard Non-AC,3500,128,5874,5,0,False,False,0
Kalyann-Sarthak Tiwari,8976543224,lkjhgtre,22/11/2025,27/11/2025,Standard Non-AC,3500,115,5875,5,0,False,False,0
Kalyann-Sarthak Tiwari,8976543224,lkjhgtre,22/11/2025,27/11/2025,Standard Non-AC,3500,104,5876,5,0,False,False,0
Kalyann-Sarthak Tiwari,8976543224,lkjhgtre,22/11/2025,27/11/2025,Standard Non-AC,3500,135,5877,5,0,False,False,0
Kalyann-Sarthak Tiwari,8976543224,lkjhgtre,22/11/2025,27/11/2025,Standard Non-AC,3500,101,5878,5,0,False,False,0
Anuradha Ji,8859155529,dfkjsmncsd,26/11/2025,29/11/2025,Standard AC,4000,220,5879,3,0,False,False,0
Anuradha Ji,8859155529,dfkjsmncsd,26/11/2025,29/11/2025,Standard AC,4000,207,5880,3,0,False,False,0
Anuradha Ji,8859155529,dfkjsmncsd,26/11/2025,29/11/2025,Standard AC,4000,224,5881,3,0,False,False,0
tge-tegrd,1234567890,hngfbdvs,30/11/2025,02/12/2025,Standard Non-AC,3500,134,5882,2,0,False,False,0
tge-tegrd,1234567890,hngfbdvs,30/11/2025,02/12/2025,Standard Non-AC,3500,106,5883,2,0,False,False,0
tge-tegrd,1234567890,hngfbdvs,30/11/2025,02/12/2025,Standard Non-AC,3500,107,5884,2,0,False,False,0
tge-tegrd,1234567890,hngfbdvs,30/11/2025,02/12/2025,Standard Non-AC,3500,123,5885,2,0,False,False,0
